Job Title,Company,Location,Scraped Date
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",2026-04-01 00:29:52.234862
Energy engineer,Vasquez-Davidson,"Christopherville, AA",2026-04-01 00:29:52.234862
Legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",2026-04-01 00:29:52.234862
Fitness centre manager,Savage-Bradley,"East Seanview, AP",2026-04-01 00:29:52.234862
Product manager,Ramirez Inc,"North Jamieview, AP",2026-04-01 00:29:52.234862
Medical technical officer,Rogers-Yates,"Davidville, AP",2026-04-01 00:29:52.234862
Physiological scientist,Kramer-Klein,"South Christopher, AE",2026-04-01 00:29:52.234862
Textile designer,Meyers-Johnson,"Port Jonathan, AE",2026-04-01 00:29:52.234862
Television floor manager,Hughes-Williams,"Osbornetown, AE",2026-04-01 00:29:52.234862
Waste management officer,"Jones, Williams and Villa","Scotttown, AP",2026-04-01 00:29:52.234862
Software Engineer (Python),Garcia PLC,"Ericberg, AE",2026-04-01 00:29:52.234862
Interpreter,Gregory and Sons,"Ramireztown, AE",2026-04-01 00:29:52.234862
Architect,"Clark, Garcia and Sosa","Figueroaview, AA",2026-04-01 00:29:52.234862
Meteorologist,Bush PLC,"Kelseystad, AA",2026-04-01 00:29:52.234862
Audiological scientist,Salazar-Meyers,"Williamsburgh, AE",2026-04-01 00:29:52.234862
English as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",2026-04-01 00:29:52.234862
Surgeon,Cruz-Brown,"West Jessicabury, AA",2026-04-01 00:29:52.234862
Equities trader,Macdonald-Ferguson,"Maloneshire, AE",2026-04-01 00:29:52.234862
Newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",2026-04-01 00:29:52.234862
Materials engineer,Smith and Sons,"South Davidtown, AP",2026-04-01 00:29:52.234862
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",2026-04-01 00:29:52.234862
Product/process development scientist,Gomez-Carroll,"Marktown, AA",2026-04-01 00:29:52.234862
"Scientist, research (maths)","Manning, Welch and Herring","Laurenland, AE",2026-04-01 00:29:52.234862
Ecologist,"Lee, Gutierrez and Brown","Lauraton, AP",2026-04-01 00:29:52.234862
Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",2026-04-01 00:29:52.234862
Historic buildings inspector/conservation officer,Smith LLC,"North Brandonville, AP",2026-04-01 00:29:52.234862
Data scientist,Thomas Group,"Port Robertfurt, AA",2026-04-01 00:29:52.234862
Psychiatrist,Silva-King,"Burnettbury, AE",2026-04-01 00:29:52.234862
Structural engineer,Pierce-Long,"Herbertside, AA",2026-04-01 00:29:52.234862
